RS6426_MB_v10_BRD_20241106
Net,PE3_SLOT2_D4_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D4_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D4_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D4_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D4_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXN0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXN0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXP0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXP0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXN1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXN1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXP1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXP1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXN2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXN2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXP2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXP2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXN3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXN3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_RXP3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_RXP3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_1_C_RXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_1_RXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_1_C_RXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_1_RXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_2_C_RXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_2_RXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_2_C_RXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_2_RXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXN0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXN0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
